Achillea millefolium
Anagallis arvensis
Aphanes inexspectata
Arrhenatherum elatius
Bromus hordeaceus
Carex hirta
Carex riparia
Cirsium arvense
Deschampsia cespitosa
Galium saxatile
Geranium dissectum
Geranium molle
Holcus lanatus
Juncus conglomeratus
Leontodon autumnalis
Lolium  multiflorum
Lotus corniculatus
Luzula campestris
Myosotis arvensis
Pilosella officinarum
Prunella vulgaris
Ranunculus acris
Ranunculus repens
Rubus fruticosus
Rumex acetosa
Rumex acetosella
Senecio jacobaea
Stellaria graminea
Stellaria holostea
Trifolium repens
Urtica dioica
Veronica chamaedrys
Veronica officinalis
Veronica serpyllifolia
