Adscita statices
Aglais urticae
Andrena bicolor
Andrena carantonica
Andrena cineraria
Andrena clarkella
Andrena denticulata
Andrena fucata
Andrena fulva
Andrena fulvida
Andrena fuscipes
Andrena haemorrhoa
Andrena hattorfiana
Andrena helvola
Andrena humilis
Andrena lapponica
Andrena lathyri
Andrena minutula
Andrena minutuloides
Andrena nigroaenea
Andrena praecox
Andrena semilaevis
Andrena subopaca
Andrena tarsata
Andrena tibialis
Andrena vaga
Andrena wilkella
Anthocharis cardamines
Aphantopus hyperantus
Aporia crataegi
Argynnis paphia
Brenthis ino
Callophrys rubi
Celastrina argiolus
Chelostoma campanularum
Chelostoma florisomne
Clossiana euphrosyne
Clossiana selene
Coenonympha pamphilus
Colias palaeno
Colletes daviesanus
Colletes succinctus
Cyaniris semiargus
Dufourea dentiventris
Erynnis Tages
Eucera longicornis
Fabriciana adippe
Gonepteryx rhamni
Halictus rubicundus
Halictus tumulorum
Hoplitis claviventris
Hoplitis leucomelana
Hylaeus brevicornis
Hylaeus communis
Hylaeus confusus
Hylaeus gibbus
Hylaeus hyalinatus
Hylaeus rinki
Inachis io
Lasioglossum albipes
Lasioglossum calceatum
Lasioglossum fratellum
Lasioglossum fulvicorne
Lasioglossum leucopus
Lasioglossum leucozonium
Lasioglossum punctatissimum
Lasioglossum rufitarse
Lasioglossum semilucens
Lasioglossum villosulum
Lasiommata megera
Leptidea sinapis
Lycaena phlaeas
Lycaena virgaureae
Macropis europaea
Maniola jurtina
Megachile circumcincta
Megachile versicolor
Melitta haemorrhoidalis
Mellicta athalia
Mesoacidalia aglaja
Nomada armata
Nomada flavoguttata
Nomada flavopicta
Nomada fulvicornis
Nomada goodeniana
Nomada lathburiana
Nomada leucophthalma
Nomada marshamella
Nomada panzeri
Nomada ruficornis
Nomada rufipes
Nomada striata
Nymphalis antiopa
Ochlodes faunus
Osmia caerulescens
Osmia leaiana
Osmia rufa cornigera
Osmia rufa rufa
Osmia uncinata
Panurgus banksianus
Panurgus calcaratus
Papilio machaon
Pieris brassicae
Pieris napi
Pieris rapae
Plebejus argus/idas
Polygonia c-album
Polyommatus amandus
Polyommatus icarus
Pyrgus malvae
Quercusia quercus
Satyrium w-album
Sphecodes albilabris
Sphecodes crassus
Sphecodes ephippius
Sphecodes ferruginatus
Sphecodes geofrellus
Sphecodes gibbus
Sphecodes hyalinatus
Sphecodes monilicornis
Sphecodes pellucidus
Thymelicus lineola
Vacciniina optilete
Vanessa atalanta
Zygaena lonicerae
Zygaena viciae
